GRE,TOEFL,UniversityRating,SOP,LOR,CGPA,Research,Score,cluster
337,118,4,4.5,4.5,9.65,1,92.0,0
324,107,4,4.0,4.5,8.87,1,76.0,0
316,104,3,3.0,3.5,8.0,1,72.0,2
322,110,3,3.5,2.5,8.67,1,80.0,2
314,103,2,2.0,3.0,8.21,0,65.0,1
330,115,5,4.5,3.0,9.34,1,90.0,0
321,109,3,3.0,4.0,8.2,1,75.0,2
308,101,2,3.0,4.0,7.9,0,68.0,1
302,102,1,2.0,1.5,8.0,0,50.0,1
323,108,3,3.5,3.0,8.6,0,45.0,2
325,106,3,3.5,4.0,8.4,1,52.0,2
327,111,4,4.0,4.5,9.0,1,84.0,0
328,112,4,4.0,4.5,9.1,1,78.0,0
307,109,3,4.0,3.0,8.0,1,62.0,2
311,104,3,3.5,2.0,8.2,1,61.0,2
314,105,3,3.5,2.5,8.3,0,54.0,1
317,107,3,4.0,3.0,8.7,0,66.0,2
319,106,3,4.0,3.0,8.0,1,65.0,2
318,110,3,4.0,3.0,8.8,0,63.0,2
303,102,3,3.5,3.0,8.5,0,62.0,1
312,107,3,3.0,2.0,7.9,1,64.0,1
325,114,4,3.0,2.0,8.4,0,70.0,2
328,116,5,5.0,5.0,9.5,1,94.0,0
334,119,5,5.0,4.5,9.7,1,95.0,0
336,119,5,4.0,3.5,9.8,1,97.0,0
340,120,5,4.5,4.5,9.6,1,94.0,0
322,109,5,4.5,3.5,8.8,0,76.0,2
298,98,2,1.5,2.5,7.5,1,44.0,1
295,93,1,2.0,2.0,7.2,0,46.0,1
310,99,2,1.5,2.0,7.3,0,54.0,1
300,97,2,3.0,3.0,8.1,1,65.0,1
327,103,3,4.0,4.0,8.3,1,74.0,2
338,118,4,3.0,4.5,9.4,1,91.0,0
340,114,5,4.0,4.0,9.6,1,90.0,0
331,112,5,4.0,5.0,9.8,1,94.0,0
320,110,5,5.0,5.0,9.2,1,88.0,0
299,106,2,4.0,4.0,8.4,0,64.0,1
300,105,1,1.0,2.0,7.8,0,57.99999999999999,1
304,105,1,3.0,1.5,7.5,0,52.0,1
307,108,2,4.0,3.5,7.7,0,48.0,1
308,110,3,3.5,3.0,8.0,1,46.0,2
316,105,2,2.5,2.5,8.2,1,49.0,1
313,107,2,2.5,2.0,8.5,1,53.0,1
332,117,4,4.5,4.0,9.1,0,87.0,0
326,113,5,4.5,4.0,9.4,1,91.0,0
322,110,5,5.0,4.0,9.1,1,88.0,0
329,114,5,4.0,5.0,9.3,1,86.0,0
339,119,5,4.5,4.0,9.7,0,89.0,0
321,110,3,3.5,5.0,8.85,1,82.0,2
327,111,4,3.0,4.0,8.4,1,78.0,2
313,98,3,2.5,4.5,8.3,1,76.0,2
312,100,2,1.5,3.5,7.9,1,56.00000000000001,1
334,116,4,4.0,3.0,8.0,1,78.0,2
324,112,4,4.0,2.5,8.1,1,72.0,2
322,110,3,3.0,3.5,8.0,0,70.0,2
320,103,3,3.0,3.0,7.7,0,64.0,1
316,102,3,2.0,3.0,7.4,0,64.0,1
298,99,2,4.0,2.0,7.6,0,46.0,1
300,99,1,3.0,2.0,6.8,1,36.0,1
311,104,2,2.0,2.0,8.3,0,42.0,1
309,100,2,3.0,3.0,8.1,0,48.0,1
307,101,3,4.0,3.0,8.2,0,47.0,1
304,105,2,3.0,3.0,8.2,1,54.0,1
315,107,2,4.0,3.0,8.5,1,56.00000000000001,2
325,111,3,3.0,3.5,8.7,0,52.0,2
325,112,4,3.5,3.5,8.92,0,55.00000000000001,2
327,114,3,3.0,3.0,9.02,0,61.0,2
316,107,2,3.5,3.5,8.64,1,56.99999999999999,2
318,109,3,3.5,4.0,9.22,1,68.0,2
328,115,4,4.5,4.0,9.16,1,78.0,0
332,118,5,5.0,5.0,9.64,1,94.0,0
336,112,5,5.0,5.0,9.76,1,96.0,0
321,111,5,5.0,5.0,9.45,1,93.0,0
314,108,4,4.5,4.0,9.04,1,84.0,2
314,106,3,3.0,5.0,8.9,0,74.0,2
329,114,2,2.0,4.0,8.56,1,72.0,2
327,112,3,3.0,3.0,8.72,1,74.0,2
301,99,2,3.0,2.0,8.22,0,64.0,1
296,95,2,3.0,2.0,7.54,1,44.0,1
294,93,1,1.5,2.0,7.36,0,46.0,1
312,105,3,2.0,3.0,8.02,1,50.0,1
340,120,4,5.0,5.0,9.5,1,96.0,0
320,110,5,5.0,4.5,9.22,1,92.0,0
322,115,5,4.0,4.5,9.36,1,92.0,0
340,115,5,4.5,4.5,9.45,1,94.0,0
319,103,4,4.5,3.5,8.66,0,76.0,2
315,106,3,4.5,3.5,8.42,0,72.0,2
317,107,2,3.5,3.0,8.28,0,66.0,1
314,108,3,4.5,3.5,8.14,0,64.0,2
316,109,4,4.5,3.5,8.76,1,74.0,2
318,106,2,4.0,4.0,7.92,1,64.0,2
299,97,3,5.0,3.5,7.66,0,38.0,1
298,98,2,4.0,3.0,8.03,0,34.0,1
301,97,2,3.0,3.0,7.88,1,44.0,1
303,99,3,2.0,2.5,7.66,0,36.0,1
304,100,4,1.5,2.5,7.84,0,42.0,1
306,100,2,3.0,3.0,8.0,0,48.0,1
331,120,3,4.0,4.0,8.96,1,86.0,0
332,119,4,5.0,4.5,9.24,1,90.0,0
323,113,3,4.0,4.0,8.88,1,79.0,2
322,107,3,3.5,3.5,8.46,1,71.0,2
312,105,2,2.5,3.0,8.12,0,64.0,1
314,106,2,4.0,3.5,8.25,0,62.0,2
317,104,2,4.5,4.0,8.47,0,56.99999999999999,2
326,112,3,3.5,3.0,9.05,1,74.0,2
316,110,3,4.0,4.5,8.78,1,69.0,2
329,111,4,4.5,4.5,9.18,1,87.0,0
338,117,4,3.5,4.5,9.46,1,91.0,0
331,116,5,5.0,5.0,9.38,1,93.0,0
304,103,5,5.0,4.0,8.64,0,68.0,2
305,108,5,3.0,3.0,8.48,0,61.0,2
321,109,4,4.0,4.0,8.68,1,69.0,2
301,107,3,3.5,3.5,8.34,1,62.0,2
320,110,2,4.0,3.5,8.56,0,72.0,2
311,105,3,3.5,3.0,8.45,1,59.0,2
310,106,4,4.5,4.5,9.04,1,66.0,2
299,102,3,4.0,3.5,8.62,0,56.00000000000001,1
290,104,4,2.0,2.5,7.46,0,45.0,1
296,99,2,3.0,3.5,7.28,0,47.0,1
327,104,5,3.0,3.5,8.84,1,71.0,2
335,117,5,5.0,5.0,9.56,1,94.0,0
334,119,5,4.5,4.5,9.48,1,94.0,0
310,106,4,1.5,2.5,8.36,0,56.99999999999999,1
308,108,3,3.5,3.5,8.22,0,61.0,2
301,106,4,2.5,3.0,8.47,0,56.99999999999999,1
300,100,3,2.0,3.0,8.66,1,64.0,1
323,113,3,4.0,3.0,9.32,1,85.0,2
319,112,3,2.5,2.0,8.71,1,78.0,2
326,112,3,3.5,3.0,9.1,1,84.0,2
333,118,5,5.0,5.0,9.35,1,92.0,0
339,114,5,4.0,4.5,9.76,1,96.0,0
303,105,5,5.0,4.5,8.65,0,77.0,2
309,105,5,3.5,3.5,8.56,0,71.0,2
323,112,5,4.0,4.5,8.78,0,79.0,0
333,113,5,4.0,4.0,9.28,1,89.0,0
314,109,4,3.5,4.0,8.77,1,82.0,2
312,103,3,5.0,4.0,8.45,0,76.0,2
316,100,2,1.5,3.0,8.16,1,71.0,1
326,116,2,4.5,3.0,9.08,1,80.0,2
318,109,1,3.5,3.5,9.12,0,78.0,2
329,110,2,4.0,3.0,9.15,1,84.0,2
332,118,2,4.5,3.5,9.36,1,90.0,0
331,115,5,4.0,3.5,9.44,1,92.0,0
340,120,4,4.5,4.0,9.92,1,97.0,0
325,112,2,3.0,3.5,8.96,1,80.0,2
320,113,2,2.0,2.5,8.64,1,81.0,2
315,105,3,2.0,2.5,8.48,0,75.0,1
326,114,3,3.0,3.0,9.11,1,83.0,2
339,116,4,4.0,3.5,9.8,1,96.0,0
311,106,2,3.5,3.0,8.26,1,79.0,2
334,114,4,4.0,4.0,9.43,1,93.0,0
332,116,5,5.0,5.0,9.28,1,94.0,0
321,112,5,5.0,5.0,9.06,1,86.0,0
324,105,3,3.0,4.0,8.75,0,79.0,2
326,108,3,3.0,3.5,8.89,0,80.0,2
312,109,3,3.0,3.0,8.69,0,77.0,2
315,105,3,2.0,2.5,8.34,0,70.0,1
309,104,2,2.0,2.5,8.26,0,65.0,1
306,106,2,2.0,2.5,8.14,0,61.0,1
297,100,1,1.5,2.0,7.9,0,52.0,1
315,103,1,1.5,2.0,7.86,0,56.99999999999999,1
298,99,1,1.5,3.0,7.46,0,53.0,1
318,109,3,3.0,3.0,8.5,0,67.0,2
317,105,3,3.5,3.0,8.56,0,68.0,2
329,111,4,4.5,4.0,9.01,1,81.0,0
322,110,5,4.5,4.0,8.97,0,78.0,0
302,102,3,3.5,5.0,8.33,0,65.0,2
313,102,3,2.0,3.0,8.27,0,64.0,1
293,97,2,2.0,4.0,7.8,1,64.0,1
311,99,2,2.5,3.0,7.98,0,65.0,1
312,101,2,2.5,3.5,8.04,1,68.0,1
334,117,5,4.0,4.5,9.07,1,89.0,0
322,110,4,4.0,5.0,9.13,1,86.0,0
323,113,4,4.0,4.5,9.23,1,89.0,0
321,111,4,4.0,4.0,8.97,1,87.0,0
320,111,4,4.5,3.5,8.87,1,85.0,2
329,119,4,4.5,4.5,9.16,1,90.0,0
319,110,3,3.5,3.5,9.04,0,82.0,2
309,108,3,2.5,3.0,8.12,0,72.0,1
307,102,3,3.0,3.0,8.27,0,73.0,1
300,104,3,3.5,3.0,8.16,0,71.0,1
305,107,2,2.5,2.5,8.42,0,71.0,1
299,100,2,3.0,3.5,7.88,0,68.0,1
314,110,3,4.0,4.0,8.8,0,75.0,2
316,106,2,2.5,4.0,8.32,0,72.0,1
327,113,4,4.5,4.5,9.11,1,89.0,0
317,107,3,3.5,3.0,8.68,1,84.0,2
335,118,5,4.5,3.5,9.44,1,93.0,0
331,115,5,4.5,3.5,9.36,1,93.0,0
324,112,5,5.0,5.0,9.08,1,88.0,0
324,111,5,4.5,4.0,9.16,1,90.0,0
323,110,5,4.0,5.0,8.98,1,87.0,0
322,114,5,4.5,4.0,8.94,1,86.0,0
336,118,5,4.5,5.0,9.53,1,94.0,0
316,109,3,3.5,3.0,8.76,0,77.0,2
307,107,2,3.0,3.5,8.52,1,78.0,2
306,105,2,3.0,2.5,8.26,0,73.0,1
310,106,2,3.5,2.5,8.33,0,73.0,1
311,104,3,4.5,4.5,8.43,0,70.0,2
313,107,3,4.0,4.5,8.69,0,72.0,2
317,103,3,2.5,3.0,8.54,1,73.0,2
315,110,2,3.5,3.0,8.46,1,72.0,2
