Serial No.,TICKET MEDIO,GASTO MENSAL,SCORE SERASA
1,960,8410,19
2,3872,3193,10
3,3192,17509,78
4,566,16358,45
5,4526,16432,63
6,3544,8192,80
7,3271,6898,97
8,3019,7752,75
9,230,12221,27
10,1785,18439,47
11,869,12325,34
12,2491,4687,7
13,2533,536,90
14,1284,18671,21
15,4655,6783,23
16,3485,15702,65
17,4217,8560,94
18,4943,8565,85
19,3004,4380,63
20,574,6432,64
21,1182,8828,13
22,2658,6833,24
23,2147,14370,99
24,2847,11768,99
25,1075,5567,2
26,1906,16116,4
27,289,12575,64
28,2834,17545,53
29,3105,8473,18
30,4758,10502,96
31,1999,8387,53
32,1367,914,93
33,1628,7350,75
34,3302,3229,9
35,3656,12429,97
36,3990,15488,15
37,746,4397,45
38,2988,2669,28
39,2535,14063,14
40,700,18762,47
41,2463,13388,10
42,2161,5070,33
43,341,2015,35
44,2141,17458,29
45,2924,13134,98
46,2712,19751,72
47,1463,14298,81
48,1578,4977,18
49,2656,16955,67
50,875,19864,69
51,4114,10051,32
52,134,14679,95
53,3252,539,79
54,2055,10722,74
55,1685,16616,21
56,4043,18784,35
57,3173,19101,22
58,1121,16549,62
59,3561,5296,25
60,2713,5106,59
61,3943,18167,94
62,1600,9275,92
63,4898,15364,4
64,261,14693,53
65,4397,15176,37
66,2081,10957,61
67,1095,17699,24
68,3442,16544,97
69,4651,15566,11
70,3898,19395,21
71,1375,746,8
72,1116,7016,83
73,437,17300,28
74,978,13842,43
75,1176,16991,92
76,4987,9530,26
77,4093,1921,54
78,4959,13470,80
79,479,7783,4
80,592,16445,51
81,2162,755,12
82,3984,11519,41
83,164,15987,14
84,2668,9529,78
85,2127,19846,17
86,2795,2782,49
87,1595,9244,1
88,491,18361,86
89,4614,10419,12
90,4574,13835,67
91,3661,1091,46
92,2378,6777,88
93,3199,2760,74
94,300,11639,49
95,4975,847,11
96,3204,4943,12
97,4698,11588,8
98,2554,9274,58
99,3745,7369,44
100,904,19922,69
101,2831,3345,42
102,2873,12886,73
103,1670,1765,22
104,2790,12945,78
105,3940,13438,44
106,1128,11659,22
107,602,2774,33
108,4593,19354,15
109,970,10982,62
110,4588,19461,50
111,306,1568,31
112,1584,15206,37
113,963,6474,55
114,2890,11428,68
115,663,2450,16
116,4291,19977,85
117,1857,10911,38
118,1778,13888,40
119,3342,18271,47
120,4736,4774,81
