TICKET MEDIO,GASTO MENSAL,SCORE SERASA,cluster
960,8410,19,g2
3872,3193,10,g3
3192,17509,78,g1
566,16358,45,g2
4526,16432,63,g1
3544,8192,80,g3
3271,6898,97,g3
3019,7752,75,g3
230,12221,27,g2
1785,18439,47,g1
869,12325,34,g2
2491,4687,7,g3
2533,536,90,g3
1284,18671,21,g2
4655,6783,23,g3
3485,15702,65,g1
4217,8560,94,g3
4943,8565,85,g3
3004,4380,63,g3
574,6432,64,g2
1182,8828,13,g2
2658,6833,24,g3
2147,14370,99,g2
2847,11768,99,g1
1075,5567,2,g2
1906,16116,4,g2
289,12575,64,g2
2834,17545,53,g1
3105,8473,18,g3
4758,10502,96,g1
1999,8387,53,g2
1367,914,93,g3
1628,7350,75,g2
3302,3229,9,g3
3656,12429,97,g1
3990,15488,15,g1
746,4397,45,g2
2988,2669,28,g3
2535,14063,14,g1
700,18762,47,g2
2463,13388,10,g1
2161,5070,33,g3
341,2015,35,g2
2141,17458,29,g1
2924,13134,98,g1
2712,19751,72,g1
1463,14298,81,g2
1578,4977,18,g2
2656,16955,67,g1
875,19864,69,g2
4114,10051,32,g1
134,14679,95,g2
3252,539,79,g3
2055,10722,74,g2
1685,16616,21,g2
4043,18784,35,g1
3173,19101,22,g1
1121,16549,62,g2
3561,5296,25,g3
2713,5106,59,g3
3943,18167,94,g1
1600,9275,92,g2
4898,15364,4,g1
261,14693,53,g2
4397,15176,37,g1
2081,10957,61,g2
1095,17699,24,g2
3442,16544,97,g1
4651,15566,11,g1
3898,19395,21,g1
1375,746,8,g3
1116,7016,83,g2
437,17300,28,g2
978,13842,43,g2
1176,16991,92,g2
4987,9530,26,g3
4093,1921,54,g3
4959,13470,80,g1
479,7783,4,g2
592,16445,51,g2
2162,755,12,g3
3984,11519,41,g1
164,15987,14,g2
2668,9529,78,g3
2127,19846,17,g1
2795,2782,49,g3
1595,9244,1,g2
491,18361,86,g2
4614,10419,12,g1
4574,13835,67,g1
3661,1091,46,g3
2378,6777,88,g3
3199,2760,74,g3
300,11639,49,g2
4975,847,11,g3
3204,4943,12,g3
4698,11588,8,g1
2554,9274,58,g3
3745,7369,44,g3
904,19922,69,g2
2831,3345,42,g3
2873,12886,73,g1
1670,1765,22,g3
2790,12945,78,g1
3940,13438,44,g1
1128,11659,22,g2
602,2774,33,g2
4593,19354,15,g1
970,10982,62,g2
4588,19461,50,g1
306,1568,31,g2
1584,15206,37,g2
963,6474,55,g2
2890,11428,68,g1
663,2450,16,g2
4291,19977,85,g1
1857,10911,38,g2
1778,13888,40,g2
3342,18271,47,g1
4736,4774,81,g3
1159,2785,27,g2
1822,19808,76,g1
3414,7545,49,g3
3257,2118,0,g3
2725,11479,49,g1
2829,9062,18,g3
1697,12526,97,g2
3160,8343,58,g3
2793,10395,67,g1
4991,12466,66,g1
3727,18232,40,g1
1463,5789,9,g2
2081,19306,27,g1
1763,19312,33,g1
1629,3533,38,g3
2138,9360,82,g2
3402,8313,55,g3
2337,18298,51,g1
1406,14360,99,g2
4129,14794,2,g1
2775,4121,22,g3
1382,17638,16,g2
809,2847,70,g2
